name,email,last_checkin
Fabia Souza 0,aluno0@academia.com,2026-01-29
Debora Silva 1,aluno1@academia.com,2026-01-19
Alice Oliveira 2,aluno2@academia.com,2026-01-25
Erick Santos 3,aluno3@academia.com,2026-02-01
Debora Santos 4,aluno4@academia.com,2026-02-06
Caio Oliveira 5,aluno5@academia.com,2026-01-16
Alice Oliveira 6,aluno6@academia.com,2026-02-05
Fabia Santos 7,aluno7@academia.com,2026-01-31
Caio Santos 8,aluno8@academia.com,2026-01-28
Caio Souza 9,aluno9@academia.com,2026-01-20
Erick Silva 10,aluno10@academia.com,2026-01-27
Erick Santos 11,aluno11@academia.com,2026-02-10
Fabia Santos 12,aluno12@academia.com,2026-02-05
Alice Costa 13,aluno13@academia.com,2026-01-26
Erick Silva 14,aluno14@academia.com,2026-02-07
Hanna Oliveira 15,aluno15@academia.com,2026-01-29
Debora Souza 16,aluno16@academia.com,2026-01-16
Guto Santos 17,aluno17@academia.com,2026-01-27
Guto Costa 18,aluno18@academia.com,2026-01-25
Debora Silva 19,aluno19@academia.com,2026-01-18
